id,source_id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords
LAT068-011,LAT068-013,给马戈的五十封信,校对轮,已校对,写作,情色书写也可坦白,今日忽起写一小说之念，欲写一极“黄色”之小说，赤裸裸描写男女间事，大体刻画出我理想中的一个女孩子，当然了，“此‘人’只应天上有”，大概我一辈子也找不到。结局是她死了，如此而已。反正即使写得好，也没人敢出版，大可随意而驰笔。,013.所谓“黄色”.txt,5,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/013.所谓“黄色”.txt,"写作,情色书写也可坦白,所谓黄色"
LAT068-012,LAT068-014,给马戈的五十封信,校对轮,已校对,人格,耿介不以成败衡量,昨与老景看桂河大桥，结果没买到票，黄牛太多了，碰到赵依依，她居然给黄牛做起黄牛来了（站在黄牛让给她的地方而代给黄牛买票），本来老景也要如此做，被我拒绝，后买不到票，老景要买黄牛票，亦为我所阻，老景说：“只你一个人同黄牛不合作难道有效吗？”我说：“我们以后遇到类似的事情多着呢，对现状可能一点效果也没有，可是我们求的是内心的耿介与顽强。不该以成败及效果衡量哪件事该做哪件事不该做。”,013.所谓“黄色”.txt,6,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/013.所谓“黄色”.txt,"人格,耿介不以成败衡量,所谓黄色"
LAT068-013,LAT068-015,给马戈的五十封信,校对轮,已校对,方法,成就不必绑住当下,我近日颇行乐无拘，不太重今日以后之“成就”，从某些着眼点来看可能不够积极或景气的，怛是积极景气有有什么呢？Where tomorrow？,014.明归何处.txt,9,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/014.明归何处.txt,"方法,成就不必绑住当下,明归何处"
LAT068-014,LAT068-016,给马戈的五十封信,校对轮,已校对,人格,幽默穷开心无伤,不论在任何情形下，我永远赞成幽默和穷开心，莞尔一笑，庸何伤乎？,014.明归何处.txt,12,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/014.明归何处.txt,"人格,幽默穷开心无伤,明归何处"
LAT068-015,LAT068-017,给马戈的五十封信,校对轮,已校对,人格,人格尊严最看重,我还要强调这“何所悲”的明智之举，我发现我的心胸可以导我于至上之境，只要我的心胸不断的日益增长，我就会发现我是越来越步步高升，我离尘寰越来越遥远，在我眼中的凡夫俗子也好，千娇百媚也罢……都是些渺小的，卑微的生物，我不相信你所谓的“自己主观的条件——心理的，生理的”会那么可怕，会使我失败，人格的完整与尊严的保持是我最看重的事，凡是有损于它的我一概敬谢不敏，至少在目前，我有十足的勇气与把握去“过得蛮好，而且神气活现”。……（下略）,015.小舟之逝，从此始矣！.txt,13,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/015.小舟之逝，从此始矣！.txt,"人格,人格尊严最看重,小舟之逝从此始矣"
LAT068-016,LAT068-018,给马戈的五十封信,校对轮,已校对,情爱,爱情不能牺牲本色,有什么还能比“不改本色”还重要呢？老实说吧，不论你和我，我们已经为了女人牺牲了不少本色了，例如我读你最近给杨与小画家的两封信，我觉得它们语气都失之太柔太软，我过去也有过多枉己求人的行径，当然比你重得多，失掉个人自尊的傻事我比你多得是，每日念之，不觉汗颜疾首！,015.小舟之逝，从此始矣！.txt,18,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/015.小舟之逝，从此始矣！.txt,"情爱,爱情不能牺牲本色,小舟之逝从此始矣"
LAT068-017,LAT068-019,给马戈的五十封信,校对轮,已校对,人格,做人取舍自有标准,像一个言不二价的买卖人一样，我为我自己开了一张“取舍单”，规列我做人的尺度与标准，在这尺度与标准下，以不变应万变的态度去重新做人，合则留，不合则去，光明磊落，难进而易退，绝不为女人而折腰，拳拳事这些市井小儿！,015.小舟之逝，从此始矣！.txt,19,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/015.小舟之逝，从此始矣！.txt,"人格,做人取舍自有标准,小舟之逝从此始矣"
LAT068-018,LAT068-020,给马戈的五十封信,校对轮,已校对,写作,记录丑恶警醒自尊,我现在想写一部分回忆录的提要，单就我过去与×那些不愉快的事件一一回忆之，写出提要，订名《疾首录》，或《吾恨录>，或《厌（verb)厌（noun可厌之事也）集》。我要一一想出那些不愉快的往事，那爱情的丑（不美）的一面，我过去失掉自尊心求人的历史（我承认我曾多次失掉自尊心），以及她那阴险的、可耻的、小气的、卑鄙的、可恨的一面。,017.过渡时期的爱情观.txt,6,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/017.过渡时期的爱情观.txt,"写作,记录丑恶警醒自尊,过渡时期的爱情观"
LAT068-019,LAT068-022,给马戈的五十封信,校对轮,已校对,情爱,恨能保存自尊清醒,8.恨的情绪可以使自己看到别人丑的一面而不致盲目的迷恋，可使自己清醒地保存着自尊心。,017.过渡时期的爱情观.txt,15,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/017.过渡时期的爱情观.txt,"情爱,恨能保存自尊清醒,过渡时期的爱情观"
LAT068-020,LAT068-023,给马戈的五十封信,校对轮,已校对,情爱,智者不该迷恋,我反对迷恋的爱，你对×，我过去对×，皆有浓厚的迷恋色彩，此岂吾等以智者自许者所当有哉？,017.过渡时期的爱情观.txt,18,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/017.过渡时期的爱情观.txt,"情爱,智者不该迷恋,过渡时期的爱情观"
LAT068-021,LAT068-026,给马戈的五十封信,校对轮,已校对,情爱,自由恋爱者须达观,你说：“真正的自由恋爱论者，朝秦暮楚的做法，怕你的新头脑也将要吃不消的。”我觉得只要我做到了一个“真正的自由恋爱者”，我一定把这种朝秦暮楚的离合视为当然的，甚至是必然的，一定有十足的智慧、达观与勇气去迎接一切遭遇。换言之，即不再用世俗的态度去反应爱情上的遭遇，比如说亲人死了，我们一般的反应是哭，但是却有“三号而出”的秦失，“鼓盆而歌”的庄周，他们的反应不是世俗的，是“超世俗的”。在爱情上，离别可能带给人不少黯然神伤，但是对李先生说来，他却可能逐渐走上一种“太上忘情”的最达观的道路，例如我昨天又走过我和×小姐相识的小径，往年是忧郁的踽踽经过，而昨天呢，我却几乎是无动于衷了。因为我已不再是一个为离别而悲的人了，我不愿再在爱情上遭受任何的痛苦。我之所以如此，得力于：,020.真正的自由恋爱者.txt,6,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/020.真正的自由恋爱者.txt,"情爱,自由恋爱者须达观,真正的自由恋爱者"
LAT068-022,LAT068-027,给马戈的五十封信,校对轮,已校对,方法,不能实行的理论站不住,我现在正如你所希望的，的确是“知行合一”“剑及履及”，我心头没有什么矛盾与不安，我是统一的，因此我反对你理论家与实行家可以分开的谬论，我绝不相信“想成为一个实行家而减低了他做一个理论家的深度”的话，我觉得不能实行的理论是站不住的，可怜的，甚至是谬误的，为什么要做一个“半身不遂”的人物，为什么不站起来做一个扬眉吐气剑及履及的英雄？,020.真正的自由恋爱者.txt,10,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/020.真正的自由恋爱者.txt,"方法,不能实行的理论站不住,真正的自由恋爱者"
LAT068-023,LAT068-028,给马戈的五十封信,校对轮,已校对,人格,英雄要慷慨决绝,真的，老马，为什么我们不做个“刚亦不吐，柔亦不茹”的英雄？我觉得过去我们即使不失之软弱，也失之不够慷慨决绝，我们太拖泥带水了，太不像个英雄，不像个硬汉。,020.真正的自由恋爱者.txt,11,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/020.真正的自由恋爱者.txt,"人格,英雄要慷慨决绝,真正的自由恋爱者"
LAT068-024,LAT068-029,给马戈的五十封信,校对轮,已校对,文化,传统须有理性证据,×××看到我勤抽纸烟，骂我越来越走下坡路，我没理她，她这种态度与×××的牛气论有何分别？我现在越来越对传统的taboo卑视，我心里会说：“何物传统，胆敢阻老子一意孤行!”每当我找不到一个持之有故言之成理而使人心服的证据来支持这传统的时候，传统立刻便失去拘束我的能力了，我立刻便脱缰了。,021.只消捡起一块石头.txt,3,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/021.只消捡起一块石头.txt,"文化,传统须有理性证据,只消捡起一块石头"
LAT068-025,LAT068-030,给马戈的五十封信,校对轮,已校对,方法,不能交通者免谈,在“不可与言即不与言”一点上，你给了我不少的影响和暗示：每在我又要哓哓与人辩白或解释的时候，一个“免谈啦”的声音经常在我脑里浮出来，与是我便默然不语了。与不能“交通”者，夫复何言哉！这点是跟你学的。,021.只消捡起一块石头.txt,5,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/021.只消捡起一块石头.txt,"方法,不能交通者免谈,只消捡起一块石头"
LAT068-026,LAT068-031,给马戈的五十封信,校对轮,已校对,人格,无言是傲岸手段,“无言”之为义大矣哉！它不仅带给我们美感，并且还带给我们睥睨与傲岸，在“广义的恨的哲学”里，无言是第一等的手段，对世俗的狗男女，你骂他、讽刺他、瞪他、有时我觉得都是太抬举他了，他们还不配我们这样对他呢，当年张作霖手下一个佣人曾逢人就说：“大帅亲口骂我一声王八蛋！”而引以为荣，我觉得这个令人发噱的小故事倒可以被你我引以为用，他们还不配是我们骂的对象，我们对他们的最好的态度是根本不正眼看他，视其人如不见，听其言如不闻，根本漠视有此“人”之存在（being)，岂不更妙？你走在路上，旁边忽有一狗向你狂吠，只要它没咬到你，你大可不理它了，这是对付这些凡夫俗子们的最好态度。但当“它”真真的咬住你不放的时候，当然我们就要放弃这“无言的手段”而采取另外的办法来了，不过另外的办法仍是以不用为上，不得已而用之。“无言的手段”足以应付一般局面，你以为吾意如何？,021.只消捡起一块石头.txt,6,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/021.只消捡起一块石头.txt,"人格,无言是傲岸手段,只消捡起一块石头"
LAT068-027,LAT068-034,给马戈的五十封信,校对轮,已校对,方法,今天比过去未来重要,大力主张“如何过今天”，“如何使今天有生活情调”，反对回想过去，也反对为不可知的未来的事业等拼命，我告诉每个朋友都“别忘了今天！”,021.只消捡起一块石头.txt,20,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/021.只消捡起一块石头.txt,"方法,今天比过去未来重要,只消捡起一块石头"
LAT068-028,LAT068-035,给马戈的五十封信,校对轮,已校对,情爱,爱情可成乐园也可成坟,这是电影《桃花运》里面的两句话，接到我这封信的时候，你恐怕都在桃花路上走了一趟了，怎么样？今天开禁，五光六色的花花世界中有何艳遇否？女朋友不可老是在台北物色，要“到处留艳迹，四海觅芳踪”才是！不过此事之为利为弊视人而定，你有办法，又能把持得住，桃花路上即是“新乐园”，“双喜”临头之处必不在少，爱情之于你只有快乐，否则的话那就应了上面的两句话了，到头来黄土一抔，饮恨吞声而死，一辈子感叹女人没有好东西。,022.桃花路上.txt,5,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/022.桃花路上.txt,"情爱,爱情可成乐园也可成坟,桃花路上"
LAT068-029,LAT068-036,给马戈的五十封信,校对轮,已校对,情爱,旧情毒素要用坚强抵制,八月节真是希望你能冋来共度，三个牛郎（你、我、景）在一起，聊作长谈，不亦善乎？我很讨厌中秋节。因为前年中秋节的晚上我有一件风流的往事，故每逢中秋复至，吾甚不喜。在台中看《彩凤伴金龙》中谓“人生可纪念之日愈多愈好”，其然，岂其然乎？我倒宁愿忘掉过去的许多纪念日。过去快乐的日子已不复成为快乐，惨痛的回忆却仍然惨痛，对过去我的确不愿再想，想之无益，徒伤感情。（其实也不是伤感情，因为个人很坚强，感情是伤不了的，只不过是要支出很多坚强出来去抵制伤感的毒素而已。）,022.桃花路上.txt,7,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/022.桃花路上.txt,"情爱,旧情毒素要用坚强抵制,桃花路上"
LAT068-030,LAT068-037,给马戈的五十封信,校对轮,已校对,方法,未判明前不可骤责,小画家那里你能保险她可亲自收到此信？假若她没收到呢？女人固属可恨，然在情况未判明前，不可骤责以“不念旧谊”也。,022.桃花路上.txt,10,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/022.桃花路上.txt,"方法,未判明前不可骤责,桃花路上"
LAT068-031,LAT068-038,给马戈的五十封信,校对轮,已校对,人格,昙花只贵开一次,一觉醒来，花已谢矣，人生这样岂不是很好？只不过开一次，可是开得那样高贵，那样美观，那样不轻易，那样使人怀念、留恋，又何必要死开个没完？或者开一大堆？我又要乱用名词，姑名此为“昙花哲学”吧。,023.寡情如此.txt,18,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/023.寡情如此.txt,"人格,昙花只贵开一次,寡情如此"
LAT068-032,LAT068-039,给马戈的五十封信,校对轮,已校对,人格,故态投影遮蔽现在,来信使我想到这些大俗蛋们，他们了解的李敖不知是哪一个时代的李敖？大概是几年前的我吧？这真可笑。归来见一友，三四年未见矣，彼历述我当年之种种，许多吾皆忘之，孔丘说：“礼失求诸野”，我套此意曰：“己失求诸故”，此其谓乎，好象夜半的星光一样，我们看到的星光已是多少光年前的投影了，而我们所见的繁星，皆非现在的真面目，乃是历经多少光年才到达我们眼中的“故态”。这真可说是“后之视今，犹今之视昔”了！设想耶稣死后多少年人们才“了解”他，现在我们不为人所知，不足忧也，还是一任这些狗男女们妄相猜度咱们老子们罢。安知我们不是先知呢？当然我们比耶稣伟大得多，耶稣所持者一片谎言与痴人说梦耳，流风所及，千古一大骗局耳，传教者给骗子做骗子，信教者给骗子做奴才，此所谓宗教者也。余意宗教可取者乃在其片段之理论与箴言，总体言之，殊不可耐矣。佛书中之小掌故，Bible中之小隽语，皆颇有佳妙者在，还有宗教徒所办之事业如学校医院等亦功不可没，惟他们每藉施小惠以传教，此甚可耻，萧伯纳曾讥谓一手拿宝剑一手拿可兰经的传教方式是为你们所耻笑的，可是一手拿面包，一手拿Bible又高明多少？其喻甚是。,023.寡情如此.txt,20,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/023.寡情如此.txt,"人格,故态投影遮蔽现在,寡情如此"
LAT068-033,LAT068-040,给马戈的五十封信,校对轮,已校对,情爱,旧爱可被彻底否定,昨日开始上课第一天，这小子又乱闹起情绪来，一脸情绪面孔，狂吸纸烟，我陪他乱跑，他说我也闹情绪，真是活见鬼，我现在狠头狠脑的，简直不知情绪为何物，例如昨日第一次上课就见×在教室中，只她一人，我也一人而入，教室中只我和她两人，后来又来了三位，此老李《中国史学史专题研究》之冷落场面也。吾视而不见，如无此人，真的，她已完全被我否定了，影子不如。,024.不知情绪为何物.txt,6,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/024.不知情绪为何物.txt,"情爱,旧爱可被彻底否定,不知情绪为何物"
LAT068-034,LAT068-041,给马戈的五十封信,校对轮,已校对,情爱,旧爱成精神刺激体,我选了老李的两门课，星期一第八节的《通鉴》和星期三第四节，星期六第七节的《中国史学史专题研究》，×也选了，我不禁觉得很不愉快，很别扭。事到今天，×跟我的关系仍是很奥妙，我对她并未“痛心”，但是却相当的“疾首”，她代表我一个多年来理想的破灭，同时代表我内心的一个大创痕、大烙印，——虽然疤是结了，可是在风雨之夕，仍是隐然作痛。总之，她象征了很多与我有密切关系的关系，诸如往日的欢笑与眼泪、信心与失败、怀念与仇恨，她之于我，始终不失为一个“精神上的刺激体”……,027.为前信进一解.txt,7,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/027.为前信进一解.txt,"情爱,旧爱成精神刺激体,为前信进一解"
LAT068-035,LAT068-042,给马戈的五十封信,校对轮,已校对,方法,减少刺激胜过硬抵制,与其坚强与紧张，吃力，何如减少刺激？也减少因“抵制”刺激而花的力气，如后者岂不更善乎？老子言：“不见可欲，其心不乱”，点了火即使能灭（用坚强），何如不点火？善战者不战，最坚强者亦不轻用坚强，不知此论可成立否？,027.为前信进一解.txt,8,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/027.为前信进一解.txt,"方法,减少刺激胜过硬抵制,为前信进一解"
LAT068-036,LAT068-043,给马戈的五十封信,校对轮,已校对,人格,多变也是自我性格,这一部分是指“新欢”而言，我决定采取“真空放电式”，随时随地地发散掉，仍是能打拳者打拳，能踢脚者踢脚，随兴之所至，境之所处，任其去留了。如你所说，我在这上面比新汉、庄因皆好变，我亦随它变来变去罢，胡家伦笑我是物理学上的“布朗运动”，事到如今，我亦不得不承认了，我现在干干脆脆自命一个多变（尤其多Mutation）的不可了救药的人。,027.为前信进一解.txt,11,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/027.为前信进一解.txt,"人格,多变也是自我性格,为前信进一解"
LAT068-037,LAT068-044,给马戈的五十封信,校对轮,已校对,方法,谢俗议要不解释不辩白,我极喜之。不理会，不计较，不解释，不辩白，“非常之谤，不动于心，过人之侮，不形于色”，……这真是一种好态度——智慧的、有风度的好态度，抱着“耻”与计较的心情，把一切“俗议”“谢”掉，这是何等过人的心怀！她（他）不配让来talking about，这是何等傲岸与自洁！马戈以为当否？,028.“捐书谢俗议”.txt,5,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/028.“捐书谢俗议”.txt,"方法,谢俗议要不解释不辩白,捐书谢俗议"
LAT068-038,LAT068-045,给马戈的五十封信,校对轮,已校对,知识,每天扎根学问,我计划一天花出一部分时间在学问上扎根，想可持之以恒。,029.黄狗与疯狗.txt,3,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/029.黄狗与疯狗.txt,"知识,每天扎根学问,黄狗与疯狗"
LAT068-039,LAT068-046,给马戈的五十封信,校对轮,已校对,人格,嬉笑也能独乐人乐,我近日颇露此态，一天嬉皮笑脸地，见人都爱开玩笑，独乐人乐，不亦乐乎？很可能成一滑稽派终吾身也。,038.林语堂演说.txt,4,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/038.林语堂演说.txt,"人格,嬉笑也能独乐人乐,林语堂演说"
LAT068-040,LAT068-048,给马戈的五十封信,校对轮,已校对,情爱,知己才值得以身相报,为什么我说你是“愚不可及”呢？因为我采取了一种尺度来批评你的缘故，这尺度我名之曰“豫让的尺度”。豫让为智伯报仇，“漆身为癞，吞炭为哑”，百折不回，死生以之，但是被捕时却被人所笑，人家问他：“智伯并不是你最初的主人呀！你既以忠贞之士自期许，那么你对你最初的主人的态度难道够得上忠贞吗？”豫让的答话很巧妙，他说：“智伯以国士待我，故以国士报之！”而他最初的主人并未以国士和知己待他，他当然不必如此。假若“士为知己者死”是真，那么为不知己者死就未免太“痴”了！太没事找事了，太多余了，大可不必了！,043.非“痴”.txt,11,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/043.非“痴”.txt,"情爱,知己才值得以身相报,非痴"
LAT068-041,LAT068-049,给马戈的五十封信,校对轮,已校对,人格,相处要报以直,我们要做的是报以“直”（“直”，孔老二反对以德报怨，即此之故，他主张报以“直”）。,043.非“痴”.txt,19,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/043.非“痴”.txt,"人格,相处要报以直,非痴"
LAT068-042,LAT068-050,给马戈的五十封信,校对轮,已校对,情爱,感情相称才不痴,人与人相处要相称，感情要大体相当。太多太少都失之“痴”，“痴”是多余的！,043.非“痴”.txt,20,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/043.非“痴”.txt,"情爱,感情相称才不痴,非痴"
LAT068-043,LAT068-051,给马戈的五十封信,校对轮,已校对,情爱,爱情会发明狂想,昨天看《断肠飘香不了情》，那男的责怪对他的苦恋不舍的伯爵夫人道：“你对我的念头只不过是狂想，是你发明的！”可怜的是，爱情最易使人发生“狂想”，“发明”出许许多多的奇迹与巧合，而将这些现象解释为她爱他，她对他不坏的举动！,043.非“痴”.txt,23,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/043.非“痴”.txt,"情爱,爱情会发明狂想,非痴"
LAT068-044,LAT068-052,给马戈的五十封信,校对轮,已校对,情爱,恋爱唯美可能逃避现实,昨午与新汉言：“我若跟老马说×××根本就对他没什么，他听了一定不高兴，老马的大毛病在于有时有太多的鸵鸟式的逃避现实的倾向，他宁肯曲解事实的真实情况而用以满足他的‘唯美’心理，这是他的大悲哀！因为人总不能整天做着梦，就算他老东西有办法，整日昏睡二十四小时，我也不相信他做的全都是好梦！”,045.非“痴”又一章.txt,2,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/045.非“痴”又一章.txt,"情爱,恋爱唯美可能逃避现实,非痴又一章"
LAT068-045,LAT068-053,给马戈的五十封信,校对轮,已校对,方法,换角度才能改看真相,我仍不管你爱不爱听，我还是要劝你“换个角度”来看事情，这是你我的大不同处，我太爱变，而你却不太好变，×的事情使我完全采取了另外一个“着眼点”，而×的事情却始终未能使你洗心换脑地采取一个新眼光，你仍是痴想，痴恋，痴闹情绪，痴歪曲真相，痴疑神疑鬼。,045.非“痴”又一章.txt,3,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/045.非“痴”又一章.txt,"方法,换角度才能改看真相,非痴又一章"
LAT068-046,LAT068-054,给马戈的五十封信,校对轮,已校对,人格,正视现实不是怯懦,你过去不要我寄的原因是“不敢正视现实”，那是怯懦的，我现在要你“正视”起来，与一个“丑”的人哪有什么“美” 的回忆呢？……,045.非“痴”又一章.txt,9,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/045.非“痴”又一章.txt,"人格,正视现实不是怯懦,非痴又一章"
LAT068-047,LAT068-055,给马戈的五十封信,校对轮,已校对,方法,震荡可换取清醒,我现在寄上这封信，我曾仔细考虑过你看了以后的后果，我猜想它可能带给你一点小震荡，甚至是不愉快，可是，我宁愿有这个后果。林语堂在南洋大学时说得好：“与其长期闹头痛，还不如干脆昏倒一次。”假若这次不愉快能带给你一点“清醒”，一点“澈悟”，一点“改头换面”的态度，那就是我最大的希望和你最大的幸福了！,045.非“痴”又一章.txt,10,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/045.非“痴”又一章.txt,"方法,震荡可换取清醒,非痴又一章"
